File 10: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .014200228 seconds
File 2: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .015872212 seconds
File 6: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .022312014 seconds
File 9: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .028372148 seconds
File 1: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .018780079 seconds
File 107: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .053290640 seconds
File 48: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .021260669 seconds
File 56: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .036773771 seconds
File 60: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .063270427 seconds
File 4: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .025574829 seconds
File 71: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .035449366 seconds
File 72: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .058982685 seconds
File 3: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .027602371 seconds
File 13: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .082824963 seconds
File 172: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .038450174 seconds
File 29: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .030681578 seconds
File 28: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .057784871 seconds
File 24: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .070136907 seconds
File 7: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .014015420 seconds
File 83: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .021154929 seconds
File 53: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .050585442 seconds
File 23: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .074859677 seconds
File 5: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .042651956 seconds
File 188: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .169986666 seconds
File 174: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .031917582 seconds
File 8: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .089841082 seconds
File 19: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .070353996 seconds
File 32: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .059624932 seconds
File 102: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .187551510 seconds
File 58: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .054171357 seconds
File 182: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .201810669 seconds
File 17: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .095906806 seconds
File 57: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .036223604 seconds
File 101: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .049164738 seconds
File 109: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .048733231 seconds
File 61: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .070714875 seconds
File 54: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .060205530 seconds
File 238: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .075013987 seconds
File 185: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .195215097 seconds
File 121: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .073037895 seconds
File 51: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .031737163 seconds
File 11: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .072814846 seconds
File 226: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .105500435 seconds
File 50: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .098493435 seconds
File 129: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .108395752 seconds
File 14: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .144350786 seconds
File 92: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .191458434 seconds
File 82: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .259910907 seconds
File 110: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .082975382 seconds
File 75: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .257372509 seconds
File 204: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .197086719 seconds
File 203: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .205139454 seconds
File 259: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .131135043 seconds
File 173: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .213255169 seconds
File 67: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .282608950 seconds
File 193: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .097419170 seconds
File 76: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .115112643 seconds
File 42: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .121972033 seconds
File 228: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .076403230 seconds
File 99: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .117258503 seconds
File 195: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .059485393 seconds
File 64: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .153211048 seconds
File 189: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .143451080 seconds
File 43: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .099677880 seconds
File 272: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .031795593 seconds
File 119: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .101498592 seconds
File 27: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .131064475 seconds
File 45: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .084301986 seconds
File 148: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .229283610 seconds
File 33: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .135705684 seconds
File 26: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .120290801 seconds
File 135: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .067034441 seconds
File 266: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .149415925 seconds
File 111: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .133605753 seconds
File 216: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .088744667 seconds
File 136: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .111886527 seconds
File 165: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .100361367 seconds
File 126: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .139754087 seconds
File 237: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .115612011 seconds
File 225: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .199077871 seconds
File 31: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .062156941 seconds
File 180: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .290188097 seconds
File 199: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .065704416 seconds
File 278: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .256597242 seconds
File 59: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .100132868 seconds
File 98: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .273799838 seconds
File 248: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .244852133 seconds
File 170: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .249124524 seconds
File 175: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .120161060 seconds
File 106: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .084499295 seconds
File 255: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .168286773 seconds
File 235: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .267103086 seconds
File 49: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .048295062 seconds
File 84: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .149494924 seconds
File 143: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .134824548 seconds
File 65: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .326455680 seconds
File 198: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .115607210 seconds
File 218: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .131041254 seconds
File 120: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .120474859 seconds
File 140: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .140670723 seconds
File 153: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .140810152 seconds
File 219: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .138450592 seconds
File 236: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .089039066 seconds
File 40: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .172930043 seconds
File 169: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .108529212 seconds
File 86: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .112046526 seconds
