File 44: Started at 13:36:11, Finished at 13:38:15, Elapsed time: 124.249820905 seconds
File 391: Started at 13:36:11, Finished at 13:38:33, Elapsed time: 141.932910886 seconds
File 877: Started at 13:36:12, Finished at 13:38:33, Elapsed time: 141.720701977 seconds
File 196: Started at 13:36:11, Finished at 13:38:36, Elapsed time: 144.805319931 seconds
File 138: Started at 13:36:11, Finished at 13:38:37, Elapsed time: 145.957625739 seconds
File 92: Started at 13:36:11, Finished at 13:38:38, Elapsed time: 146.314267847 seconds
File 43: Started at 13:36:11, Finished at 13:38:39, Elapsed time: 148.015441971 seconds
File 636: Started at 13:36:11, Finished at 13:38:40, Elapsed time: 148.334932589 seconds
File 60: Started at 13:36:11, Finished at 13:38:42, Elapsed time: 150.517127353 seconds
File 874: Started at 13:36:12, Finished at 13:38:42, Elapsed time: 150.905867907 seconds
File 74: Started at 13:36:11, Finished at 13:38:43, Elapsed time: 151.788557239 seconds
File 109: Started at 13:36:11, Finished at 13:38:44, Elapsed time: 152.995378324 seconds
File 78: Started at 13:36:11, Finished at 13:38:45, Elapsed time: 153.703545822 seconds
File 355: Started at 13:36:11, Finished at 13:38:46, Elapsed time: 154.450430198 seconds
File 11: Started at 13:36:11, Finished at 13:38:46, Elapsed time: 154.688566105 seconds
File 526: Started at 13:36:11, Finished at 13:38:47, Elapsed time: 155.117500723 seconds
File 899: Started at 13:36:12, Finished at 13:38:47, Elapsed time: 155.061345882 seconds
File 252: Started at 13:36:11, Finished at 13:38:47, Elapsed time: 155.698921500 seconds
File 16: Started at 13:36:11, Finished at 13:38:47, Elapsed time: 155.995779525 seconds
File 140: Started at 13:36:11, Finished at 13:38:47, Elapsed time: 156.111361589 seconds
File 303: Started at 13:36:11, Finished at 13:38:48, Elapsed time: 156.290570266 seconds
File 399: Started at 13:36:11, Finished at 13:38:48, Elapsed time: 156.440897229 seconds
File 381: Started at 13:36:11, Finished at 13:38:48, Elapsed time: 157.030605616 seconds
File 770: Started at 13:36:11, Finished at 13:38:49, Elapsed time: 157.317659692 seconds
File 751: Started at 13:36:11, Finished at 13:38:49, Elapsed time: 157.551926726 seconds
File 721: Started at 13:36:12, Finished at 13:38:50, Elapsed time: 158.332494618 seconds
File 703: Started at 13:36:12, Finished at 13:38:51, Elapsed time: 159.357688064 seconds
File 86: Started at 13:36:11, Finished at 13:38:52, Elapsed time: 160.301375262 seconds
File 119: Started at 13:36:11, Finished at 13:38:52, Elapsed time: 160.395342237 seconds
File 729: Started at 13:36:12, Finished at 13:38:52, Elapsed time: 160.194933952 seconds
File 1002: Started at 13:36:12, Finished at 13:38:52, Elapsed time: 160.229170402 seconds
File 543: Started at 13:36:11, Finished at 13:38:52, Elapsed time: 160.447125874 seconds
File 158: Started at 13:36:11, Finished at 13:38:53, Elapsed time: 161.773404597 seconds
File 113: Started at 13:36:11, Finished at 13:38:54, Elapsed time: 162.470934662 seconds
File 8: Started at 13:36:11, Finished at 13:38:54, Elapsed time: 162.909644178 seconds
File 58: Started at 13:36:11, Finished at 13:38:54, Elapsed time: 163.272365938 seconds
File 643: Started at 13:36:11, Finished at 13:38:55, Elapsed time: 163.058550625 seconds
File 66: Started at 13:36:11, Finished at 13:38:55, Elapsed time: 163.383200253 seconds
File 59: Started at 13:36:11, Finished at 13:38:55, Elapsed time: 163.455762737 seconds
File 549: Started at 13:36:11, Finished at 13:38:55, Elapsed time: 163.498701225 seconds
File 90: Started at 13:36:11, Finished at 13:38:55, Elapsed time: 163.785629527 seconds
File 23: Started at 13:36:11, Finished at 13:38:55, Elapsed time: 163.799349904 seconds
File 944: Started at 13:36:12, Finished at 13:38:55, Elapsed time: 163.557827189 seconds
File 626: Started at 13:36:11, Finished at 13:38:55, Elapsed time: 163.761216808 seconds
File 110: Started at 13:36:11, Finished at 13:38:56, Elapsed time: 164.251003358 seconds
File 304: Started at 13:36:11, Finished at 13:38:56, Elapsed time: 164.703416381 seconds
File 678: Started at 13:36:11, Finished at 13:38:56, Elapsed time: 164.703482649 seconds
File 83: Started at 13:36:11, Finished at 13:38:56, Elapsed time: 165.108806262 seconds
File 148: Started at 13:36:11, Finished at 13:38:56, Elapsed time: 165.248165566 seconds
File 440: Started at 13:36:11, Finished at 13:38:57, Elapsed time: 165.165114578 seconds
File 538: Started at 13:36:11, Finished at 13:38:57, Elapsed time: 165.277836716 seconds
File 727: Started at 13:36:12, Finished at 13:38:57, Elapsed time: 165.204260196 seconds
File 198: Started at 13:36:11, Finished at 13:38:57, Elapsed time: 165.565314125 seconds
File 631: Started at 13:36:11, Finished at 13:38:57, Elapsed time: 165.804016505 seconds
File 680: Started at 13:36:11, Finished at 13:38:57, Elapsed time: 165.833680538 seconds
File 795: Started at 13:36:12, Finished at 13:38:57, Elapsed time: 165.908774209 seconds
File 175: Started at 13:36:11, Finished at 13:38:58, Elapsed time: 166.341482056 seconds
File 606: Started at 13:36:11, Finished at 13:38:58, Elapsed time: 166.255988820 seconds
File 374: Started at 13:36:11, Finished at 13:38:58, Elapsed time: 166.406803463 seconds
File 749: Started at 13:36:12, Finished at 13:38:58, Elapsed time: 166.252405496 seconds
File 125: Started at 13:36:11, Finished at 13:38:58, Elapsed time: 167.027532675 seconds
File 524: Started at 13:36:11, Finished at 13:38:59, Elapsed time: 167.306578649 seconds
File 528: Started at 13:36:11, Finished at 13:38:59, Elapsed time: 167.427146311 seconds
File 299: Started at 13:36:11, Finished at 13:38:59, Elapsed time: 167.944474042 seconds
File 302: Started at 13:36:11, Finished at 13:38:59, Elapsed time: 167.980417426 seconds
File 583: Started at 13:36:11, Finished at 13:39:00, Elapsed time: 168.124293997 seconds
File 1017: Started at 13:36:12, Finished at 13:39:00, Elapsed time: 167.907663639 seconds
File 831: Started at 13:36:12, Finished at 13:39:00, Elapsed time: 168.104499848 seconds
File 5: Started at 13:36:11, Finished at 13:39:00, Elapsed time: 168.513770504 seconds
File 593: Started at 13:36:11, Finished at 13:39:00, Elapsed time: 168.306750362 seconds
File 257: Started at 13:36:11, Finished at 13:39:00, Elapsed time: 168.476026277 seconds
File 809: Started at 13:36:12, Finished at 13:39:00, Elapsed time: 168.367733287 seconds
File 264: Started at 13:36:11, Finished at 13:39:00, Elapsed time: 168.706013032 seconds
File 794: Started at 13:36:12, Finished at 13:39:00, Elapsed time: 168.674958461 seconds
File 330: Started at 13:36:11, Finished at 13:39:01, Elapsed time: 169.639692171 seconds
File 571: Started at 13:36:11, Finished at 13:39:01, Elapsed time: 170.007633755 seconds
File 763: Started at 13:36:12, Finished at 13:39:02, Elapsed time: 169.937085840 seconds
File 554: Started at 13:36:11, Finished at 13:39:02, Elapsed time: 170.315487476 seconds
File 410: Started at 13:36:11, Finished at 13:39:02, Elapsed time: 170.410098269 seconds
File 460: Started at 13:36:11, Finished at 13:39:02, Elapsed time: 170.594588513 seconds
File 267: Started at 13:36:11, Finished at 13:39:02, Elapsed time: 170.828310740 seconds
File 14: Started at 13:36:11, Finished at 13:39:02, Elapsed time: 171.138236444 seconds
File 862: Started at 13:36:12, Finished at 13:39:02, Elapsed time: 170.768271085 seconds
File 405: Started at 13:36:11, Finished at 13:39:03, Elapsed time: 171.214339150 seconds
File 272: Started at 13:36:11, Finished at 13:39:03, Elapsed time: 171.247128288 seconds
File 560: Started at 13:36:11, Finished at 13:39:03, Elapsed time: 171.276319051 seconds
File 896: Started at 13:36:12, Finished at 13:39:03, Elapsed time: 171.348197456 seconds
File 235: Started at 13:36:11, Finished at 13:39:03, Elapsed time: 171.653290454 seconds
File 171: Started at 13:36:11, Finished at 13:39:03, Elapsed time: 172.014662939 seconds
File 224: Started at 13:36:11, Finished at 13:39:03, Elapsed time: 172.020837060 seconds
File 182: Started at 13:36:11, Finished at 13:39:03, Elapsed time: 172.236894539 seconds
File 702: Started at 13:36:11, Finished at 13:39:04, Elapsed time: 172.285980688 seconds
File 949: Started at 13:36:12, Finished at 13:39:04, Elapsed time: 172.162510640 seconds
File 108: Started at 13:36:11, Finished at 13:39:04, Elapsed time: 172.767482708 seconds
File 735: Started at 13:36:12, Finished at 13:39:04, Elapsed time: 172.710337960 seconds
File 1024: Started at 13:36:12, Finished at 13:39:04, Elapsed time: 172.660250701 seconds
File 966: Started at 13:36:12, Finished at 13:39:05, Elapsed time: 172.898603515 seconds
File 719: Started at 13:36:11, Finished at 13:39:05, Elapsed time: 173.073051838 seconds
File 155: Started at 13:36:11, Finished at 13:39:05, Elapsed time: 173.460746974 seconds
File 376: Started at 13:36:11, Finished at 13:39:05, Elapsed time: 173.688218398 seconds
File 444: Started at 13:36:11, Finished at 13:39:05, Elapsed time: 173.656737602 seconds
File 530: Started at 13:36:11, Finished at 13:39:05, Elapsed time: 173.713732139 seconds
File 55: Started at 13:36:11, Finished at 13:39:05, Elapsed time: 173.910847716 seconds
File 655: Started at 13:36:11, Finished at 13:39:05, Elapsed time: 173.766588862 seconds
File 21: Started at 13:36:11, Finished at 13:39:05, Elapsed time: 174.259094053 seconds
File 367: Started at 13:36:11, Finished at 13:39:06, Elapsed time: 174.284464383 seconds
File 788: Started at 13:36:12, Finished at 13:39:06, Elapsed time: 174.133946079 seconds
File 348: Started at 13:36:11, Finished at 13:39:06, Elapsed time: 174.546514187 seconds
File 263: Started at 13:36:11, Finished at 13:39:06, Elapsed time: 174.626548098 seconds
File 363: Started at 13:36:11, Finished at 13:39:06, Elapsed time: 174.724201674 seconds
File 87: Started at 13:36:11, Finished at 13:39:06, Elapsed time: 174.806801652 seconds
File 498: Started at 13:36:11, Finished at 13:39:06, Elapsed time: 175.024813639 seconds
File 977: Started at 13:36:12, Finished at 13:39:07, Elapsed time: 174.946211330 seconds
File 641: Started at 13:36:11, Finished at 13:39:07, Elapsed time: 175.182702326 seconds
File 779: Started at 13:36:12, Finished at 13:39:07, Elapsed time: 175.141321486 seconds
File 245: Started at 13:36:11, Finished at 13:39:07, Elapsed time: 175.452177499 seconds
File 28: Started at 13:36:11, Finished at 13:39:07, Elapsed time: 175.533104684 seconds
File 901: Started at 13:36:12, Finished at 13:39:07, Elapsed time: 175.195547065 seconds
File 987: Started at 13:36:12, Finished at 13:39:07, Elapsed time: 175.136684557 seconds
File 270: Started at 13:36:11, Finished at 13:39:07, Elapsed time: 175.547709804 seconds
File 688: Started at 13:36:11, Finished at 13:39:07, Elapsed time: 175.736915605 seconds
File 269: Started at 13:36:11, Finished at 13:39:07, Elapsed time: 175.889684469 seconds
File 670: Started at 13:36:12, Finished at 13:39:07, Elapsed time: 175.805164868 seconds
File 621: Started at 13:36:11, Finished at 13:39:07, Elapsed time: 175.966449342 seconds
File 519: Started at 13:36:11, Finished at 13:39:08, Elapsed time: 176.178594178 seconds
File 666: Started at 13:36:11, Finished at 13:39:08, Elapsed time: 176.110080855 seconds
File 970: Started at 13:36:12, Finished at 13:39:08, Elapsed time: 176.118484914 seconds
File 281: Started at 13:36:11, Finished at 13:39:08, Elapsed time: 176.493959657 seconds
File 584: Started at 13:36:11, Finished at 13:39:08, Elapsed time: 176.449112013 seconds
File 368: Started at 13:36:11, Finished at 13:39:08, Elapsed time: 176.730658679 seconds
File 817: Started at 13:36:12, Finished at 13:39:08, Elapsed time: 176.710891129 seconds
File 982: Started at 13:36:12, Finished at 13:39:09, Elapsed time: 177.123644953 seconds
File 402: Started at 13:36:11, Finished at 13:39:09, Elapsed time: 177.422506561 seconds
File 653: Started at 13:36:11, Finished at 13:39:09, Elapsed time: 177.599603037 seconds
File 69: Started at 13:36:11, Finished at 13:39:09, Elapsed time: 177.924614485 seconds
File 88: Started at 13:36:11, Finished at 13:39:09, Elapsed time: 177.935275324 seconds
File 318: Started at 13:36:11, Finished at 13:39:09, Elapsed time: 177.736976131 seconds
File 784: Started at 13:36:12, Finished at 13:39:09, Elapsed time: 177.679791506 seconds
File 681: Started at 13:36:11, Finished at 13:39:09, Elapsed time: 177.951356906 seconds
File 741: Started at 13:36:12, Finished at 13:39:10, Elapsed time: 178.052510057 seconds
File 872: Started at 13:36:12, Finished at 13:39:10, Elapsed time: 178.020606553 seconds
File 819: Started at 13:36:12, Finished at 13:39:10, Elapsed time: 178.073528019 seconds
File 364: Started at 13:36:11, Finished at 13:39:10, Elapsed time: 178.386100582 seconds
File 764: Started at 13:36:12, Finished at 13:39:10, Elapsed time: 178.164218038 seconds
