File 370: Started at 13:17:47, Finished at 13:19:59, Elapsed time: 131.415423003 seconds
File 845: Started at 13:17:48, Finished at 13:20:06, Elapsed time: 138.263559726 seconds
File 587: Started at 13:17:47, Finished at 13:20:06, Elapsed time: 138.960884252 seconds
File 343: Started at 13:17:47, Finished at 13:20:10, Elapsed time: 142.145723290 seconds
File 160: Started at 13:17:47, Finished at 13:20:13, Elapsed time: 145.637517483 seconds
File 965: Started at 13:17:48, Finished at 13:20:13, Elapsed time: 145.304284555 seconds
File 28: Started at 13:17:47, Finished at 13:20:14, Elapsed time: 146.555572991 seconds
File 74: Started at 13:17:47, Finished at 13:20:14, Elapsed time: 146.807372006 seconds
File 275: Started at 13:17:47, Finished at 13:20:15, Elapsed time: 147.245894552 seconds
File 836: Started at 13:17:48, Finished at 13:20:15, Elapsed time: 147.492359395 seconds
File 170: Started at 13:17:47, Finished at 13:20:16, Elapsed time: 148.232155840 seconds
File 601: Started at 13:17:47, Finished at 13:20:16, Elapsed time: 148.581306768 seconds
File 153: Started at 13:17:47, Finished at 13:20:16, Elapsed time: 149.180656426 seconds
File 515: Started at 13:17:47, Finished at 13:20:17, Elapsed time: 149.873034988 seconds
File 937: Started at 13:17:48, Finished at 13:20:18, Elapsed time: 150.144366002 seconds
File 994: Started at 13:17:48, Finished at 13:20:18, Elapsed time: 150.442010641 seconds
File 493: Started at 13:17:47, Finished at 13:20:19, Elapsed time: 151.415821216 seconds
File 630: Started at 13:17:48, Finished at 13:20:19, Elapsed time: 151.893611608 seconds
File 34: Started at 13:17:47, Finished at 13:20:21, Elapsed time: 154.187928296 seconds
File 858: Started at 13:17:47, Finished at 13:20:22, Elapsed time: 154.167006367 seconds
File 840: Started at 13:17:48, Finished at 13:20:23, Elapsed time: 155.000988734 seconds
File 656: Started at 13:17:47, Finished at 13:20:23, Elapsed time: 155.193070858 seconds
File 549: Started at 13:17:47, Finished at 13:20:23, Elapsed time: 155.467424966 seconds
File 744: Started at 13:17:48, Finished at 13:20:23, Elapsed time: 155.495645505 seconds
File 904: Started at 13:17:48, Finished at 13:20:23, Elapsed time: 155.586922977 seconds
File 829: Started at 13:17:48, Finished at 13:20:24, Elapsed time: 155.897995942 seconds
File 755: Started at 13:17:48, Finished at 13:20:24, Elapsed time: 156.012222654 seconds
File 662: Started at 13:17:48, Finished at 13:20:24, Elapsed time: 156.303786412 seconds
File 570: Started at 13:17:47, Finished at 13:20:24, Elapsed time: 156.574873304 seconds
File 232: Started at 13:17:47, Finished at 13:20:24, Elapsed time: 156.733003529 seconds
File 12: Started at 13:17:47, Finished at 13:20:25, Elapsed time: 157.499282812 seconds
File 281: Started at 13:17:47, Finished at 13:20:25, Elapsed time: 157.578756300 seconds
File 45: Started at 13:17:47, Finished at 13:20:25, Elapsed time: 158.019631373 seconds
File 953: Started at 13:17:48, Finished at 13:20:26, Elapsed time: 158.063761030 seconds
File 822: Started at 13:17:48, Finished at 13:20:27, Elapsed time: 159.040202704 seconds
File 634: Started at 13:17:48, Finished at 13:20:27, Elapsed time: 159.175985343 seconds
File 983: Started at 13:17:48, Finished at 13:20:27, Elapsed time: 159.500225447 seconds
File 92: Started at 13:17:47, Finished at 13:20:28, Elapsed time: 161.098024546 seconds
File 152: Started at 13:17:47, Finished at 13:20:29, Elapsed time: 161.250106850 seconds
File 244: Started at 13:17:47, Finished at 13:20:29, Elapsed time: 161.428700100 seconds
File 507: Started at 13:17:47, Finished at 13:20:29, Elapsed time: 161.561709005 seconds
File 827: Started at 13:17:48, Finished at 13:20:30, Elapsed time: 161.898261613 seconds
File 157: Started at 13:17:47, Finished at 13:20:30, Elapsed time: 162.332157178 seconds
File 2: Started at 13:17:47, Finished at 13:20:30, Elapsed time: 162.499694179 seconds
File 908: Started at 13:17:48, Finished at 13:20:30, Elapsed time: 162.348343824 seconds
File 957: Started at 13:17:48, Finished at 13:20:30, Elapsed time: 162.639750244 seconds
File 426: Started at 13:17:48, Finished at 13:20:31, Elapsed time: 163.256089193 seconds
File 57: Started at 13:17:47, Finished at 13:20:31, Elapsed time: 163.808092331 seconds
File 1010: Started at 13:17:48, Finished at 13:20:32, Elapsed time: 163.980808932 seconds
File 1005: Started at 13:17:48, Finished at 13:20:32, Elapsed time: 164.115254279 seconds
File 63: Started at 13:17:47, Finished at 13:20:32, Elapsed time: 164.372140598 seconds
File 349: Started at 13:17:47, Finished at 13:20:32, Elapsed time: 164.283956583 seconds
File 551: Started at 13:17:47, Finished at 13:20:32, Elapsed time: 164.334324567 seconds
File 795: Started at 13:17:48, Finished at 13:20:32, Elapsed time: 164.373540804 seconds
File 712: Started at 13:17:47, Finished at 13:20:32, Elapsed time: 164.700793632 seconds
File 198: Started at 13:17:47, Finished at 13:20:32, Elapsed time: 165.073295398 seconds
