File 7: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .168569718 seconds
File 1: Started at 12:12:21, Finished at 12:12:21, Elapsed time: .111925108 seconds
File 11: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .445474974 seconds
File 8: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .449395303 seconds
File 45: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .459888725 seconds
File 9: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .465121617 seconds
File 18: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .462124044 seconds
File 49: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .482591501 seconds
File 24: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .508617569 seconds
File 47: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .504584121 seconds
File 44: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .507746714 seconds
File 84: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .504492222 seconds
File 39: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .512738477 seconds
File 214: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .498019488 seconds
File 56: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .505243207 seconds
File 30: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .516372107 seconds
File 64: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .516993854 seconds
File 21: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .524724711 seconds
File 43: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .532601879 seconds
File 51: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .534643067 seconds
File 46: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .539442651 seconds
File 26: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .533728212 seconds
File 75: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .528295992 seconds
File 106: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .537197074 seconds
File 90: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .532615218 seconds
File 62: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .551863543 seconds
File 91: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .543254380 seconds
File 28: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .564266455 seconds
File 131: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .541046623 seconds
File 63: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .562653504 seconds
File 38: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .568530041 seconds
File 92: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .564522703 seconds
