File 3: Started at 13:12:33, Finished at 13:12:34, Elapsed time: .902767757 seconds
File 9: Started at 13:12:33, Finished at 13:12:34, Elapsed time: .935454432 seconds
File 4: Started at 13:12:33, Finished at 13:12:34, Elapsed time: .939667202 seconds
File 6: Started at 13:12:33, Finished at 13:12:35, Elapsed time: 1.247554001 seconds
File 12: Started at 13:12:33, Finished at 13:12:35, Elapsed time: 1.372537188 seconds
File 1: Started at 13:12:33, Finished at 13:12:35, Elapsed time: 1.804168939 seconds
File 2: Started at 13:12:33, Finished at 13:12:35, Elapsed time: 2.022704323 seconds
File 8: Started at 13:12:33, Finished at 13:12:36, Elapsed time: 2.262986152 seconds
File 23: Started at 13:12:33, Finished at 13:12:36, Elapsed time: 2.707654303 seconds
File 16: Started at 13:12:33, Finished at 13:12:36, Elapsed time: 2.718734380 seconds
File 7: Started at 13:12:33, Finished at 13:12:36, Elapsed time: 2.774875433 seconds
File 70: Started at 13:12:33, Finished at 13:12:36, Elapsed time: 3.058412259 seconds
File 5: Started at 13:12:33, Finished at 13:12:37, Elapsed time: 3.403806580 seconds
File 36: Started at 13:12:33, Finished at 13:12:37, Elapsed time: 3.596917743 seconds
File 19: Started at 13:12:33, Finished at 13:12:37, Elapsed time: 3.931360436 seconds
File 38: Started at 13:12:33, Finished at 13:12:37, Elapsed time: 4.110217138 seconds
File 52: Started at 13:12:33, Finished at 13:12:38, Elapsed time: 4.218208665 seconds
File 43: Started at 13:12:33, Finished at 13:12:38, Elapsed time: 4.774017248 seconds
File 26: Started at 13:12:33, Finished at 13:12:38, Elapsed time: 4.810952683 seconds
File 18: Started at 13:12:33, Finished at 13:12:38, Elapsed time: 4.952030423 seconds
File 55: Started at 13:12:33, Finished at 13:12:38, Elapsed time: 5.138264530 seconds
File 29: Started at 13:12:33, Finished at 13:12:39, Elapsed time: 5.484549217 seconds
File 71: Started at 13:12:33, Finished at 13:12:39, Elapsed time: 5.671395591 seconds
File 28: Started at 13:12:33, Finished at 13:12:39, Elapsed time: 5.838512668 seconds
File 24: Started at 13:12:33, Finished at 13:12:39, Elapsed time: 6.057207610 seconds
File 54: Started at 13:12:33, Finished at 13:12:40, Elapsed time: 6.386846056 seconds
File 39: Started at 13:12:33, Finished at 13:12:40, Elapsed time: 6.473141867 seconds
File 51: Started at 13:12:33, Finished at 13:12:40, Elapsed time: 6.593186107 seconds
File 77: Started at 13:12:33, Finished at 13:12:40, Elapsed time: 7.110076724 seconds
File 21: Started at 13:12:33, Finished at 13:12:41, Elapsed time: 7.385112761 seconds
File 22: Started at 13:12:33, Finished at 13:12:41, Elapsed time: 7.432002478 seconds
File 50: Started at 13:12:33, Finished at 13:12:41, Elapsed time: 7.464471924 seconds
File 47: Started at 13:12:33, Finished at 13:12:41, Elapsed time: 8.048762131 seconds
File 67: Started at 13:12:33, Finished at 13:12:41, Elapsed time: 8.079641665 seconds
File 62: Started at 13:12:33, Finished at 13:12:42, Elapsed time: 8.249952008 seconds
File 63: Started at 13:12:33, Finished at 13:12:42, Elapsed time: 8.333405101 seconds
File 106: Started at 13:12:33, Finished at 13:12:42, Elapsed time: 8.770393667 seconds
File 46: Started at 13:12:33, Finished at 13:12:42, Elapsed time: 9.046489199 seconds
File 31: Started at 13:12:33, Finished at 13:12:43, Elapsed time: 9.233796350 seconds
File 65: Started at 13:12:33, Finished at 13:12:43, Elapsed time: 9.251751045 seconds
File 35: Started at 13:12:33, Finished at 13:12:43, Elapsed time: 9.815784408 seconds
File 84: Started at 13:12:33, Finished at 13:12:43, Elapsed time: 9.985401503 seconds
File 125: Started at 13:12:33, Finished at 13:12:44, Elapsed time: 10.193261007 seconds
File 95: Started at 13:12:33, Finished at 13:12:44, Elapsed time: 10.196310372 seconds
File 66: Started at 13:12:33, Finished at 13:12:44, Elapsed time: 10.728473588 seconds
File 30: Started at 13:12:33, Finished at 13:12:44, Elapsed time: 10.810315050 seconds
File 53: Started at 13:12:33, Finished at 13:12:45, Elapsed time: 11.205119307 seconds
File 49: Started at 13:12:33, Finished at 13:12:45, Elapsed time: 11.260144427 seconds
File 64: Started at 13:12:33, Finished at 13:12:45, Elapsed time: 11.499153933 seconds
File 75: Started at 13:12:33, Finished at 13:12:45, Elapsed time: 11.715501566 seconds
File 123: Started at 13:12:33, Finished at 13:12:45, Elapsed time: 12.096538218 seconds
File 11: Started at 13:12:33, Finished at 13:12:46, Elapsed time: 12.201178482 seconds
File 69: Started at 13:12:33, Finished at 13:12:46, Elapsed time: 12.353074561 seconds
File 40: Started at 13:12:33, Finished at 13:12:46, Elapsed time: 12.720700627 seconds
File 179: Started at 13:12:33, Finished at 13:12:46, Elapsed time: 12.768828970 seconds
File 85: Started at 13:12:33, Finished at 13:12:46, Elapsed time: 13.091050981 seconds
File 82: Started at 13:12:33, Finished at 13:12:47, Elapsed time: 13.284736092 seconds
File 187: Started at 13:12:33, Finished at 13:12:47, Elapsed time: 13.639876498 seconds
File 33: Started at 13:12:33, Finished at 13:12:47, Elapsed time: 13.779129837 seconds
File 181: Started at 13:12:33, Finished at 13:12:47, Elapsed time: 14.123002577 seconds
File 81: Started at 13:12:33, Finished at 13:12:47, Elapsed time: 14.157953081 seconds
File 79: Started at 13:12:33, Finished at 13:12:48, Elapsed time: 14.243779143 seconds
