File 5: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .027065967 seconds
File 21: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .039599692 seconds
File 146: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .006096188 seconds
File 8: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .028815128 seconds
File 37: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .043829909 seconds
File 14: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .034162450 seconds
File 10: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .017345929 seconds
File 36: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .038211539 seconds
File 6: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .016956431 seconds
File 94: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .039227794 seconds
File 22: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .034326199 seconds
File 91: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .038670357 seconds
File 9: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .036409288 seconds
File 70: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .029366335 seconds
File 4: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .032606719 seconds
File 75: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .028909508 seconds
File 29: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .043296122 seconds
File 133: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .017759307 seconds
File 72: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .045680190 seconds
File 12: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .038708347 seconds
File 114: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .046156648 seconds
File 96: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .035401625 seconds
File 33: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .048703294 seconds
File 32: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .055901186 seconds
File 61: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .070248411 seconds
File 48: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .062353202 seconds
File 86: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .048925493 seconds
